id,project,question_id,customized_quesstion
1,wg/scrypt,1,Is there an entity named something like SCrypt in the wg/scrypt?
2,wg/scrypt,2,Is there an entity named something like package com.lambdaworks.jni in the wg/scrypt?
3,wg/scrypt,3,Is there an entity named something like loadSigned in the wg/scrypt?
4,wg/scrypt,4,Is there an entity named something like PBKDFTest in the package com.lambdaworks.jni.test?
5,wg/scrypt,5,Is there an entity named something like blockmix_salsa8 in the package com.lambdaworks.jni?
6,wg/scrypt,6,Is there an entity named something like loader in the PBKDF?
7,wg/scrypt,7,What are the parts of this repo wg/scrypt?
8,wg/scrypt,8,What are the parts of this package package com.lambdaworks.jni?
9,wg/scrypt,9,What are the parts of this class SCrypt?
10,wg/scrypt,10,How are instances of class JarLibraryLoaderTest created and assembled?
11,wg/scrypt,11,Who modified this package package com.lambdaworks.jni most recently?
12,wg/scrypt,12,Who modified this class PBKDFTest most recently?
13,wg/scrypt,13,When was this package package com.lambdaworks.jni.test last modified?
14,wg/scrypt,14,When was this class PBKDF last modified?
15,wg/scrypt,15,What does this repo wg/scrypt do?
16,wg/scrypt,16,What was done in the most recent modification to this repo wg/scrypt?
17,wg/scrypt,17,What was done in the most recent modification to this package package com.lambdaworks.crypto?
18,wg/scrypt,18,What was done in the most recent modification to this class LibraryLoaders?
19,wg/scrypt,19,Where is this package package com.lambdaworks.codec declared in the type hierarchy?
20,wg/scrypt,20,Where is this class CryptoTestUtil declared in the type hierarchy?
21,wg/scrypt,21,Where is this method loadSigned declared in the type hierarchy?
22,wg/scrypt,22,Where is this package package com.lambdaworks.jni.test referenced?
23,wg/scrypt,23,Where is this class SCryptUtilTest called or type referenced?
24,wg/scrypt,24,Where is this method setPlatform called?
25,wg/scrypt,25,Under what circumstances is this package package com.lambdaworks.jni.test used?
26,wg/scrypt,26,Under what circumstances is this class PBKDF used?
27,wg/scrypt,27,Under what circumstances is this method unsupported called?
28,wg/scrypt,28,"What are the differences between these two files: File 1: CryptoTestUtil.java, File2: SCryptTest.java?"
29,wg/scrypt,29,"What are the differences between these two classes: Class 1: CryptoTestUtil, Class 2: Base64?"
30,wg/scrypt,30,"What is the difference between these similar parts of the code: Method 1: decode, Method 2: hexValue?"
31,wg/scrypt,31,How can we know this object Platform has been created and initialized correctly?
