id,project,question_id,customized_quesstion
1,wg/scrypt,1,Is there an entity named something like JarLibraryLoaderTest in the wg/scrypt?
2,wg/scrypt,2,Is there an entity named something like package com.lambdaworks.codec in the wg/scrypt?
3,wg/scrypt,3,Is there an entity named something like detectArch in the wg/scrypt?
4,wg/scrypt,4,Is there an entity named something like Base64 in the package com.lambdaworks.jni.test?
5,wg/scrypt,5,Is there an entity named something like scrypt_paper_appendix_b in the package com.lambdaworks.codec?
6,wg/scrypt,6,Is there an entity named something like check in the LibraryLoaders?
7,wg/scrypt,7,What are the parts of this wg/scrypt?
8,wg/scrypt,8,What are the parts of this package com.lambdaworks.jni?
9,wg/scrypt,9,What are the parts of this LibraryLoaders?
10,wg/scrypt,10,How are instances of AbstractPlatformDetectionTest created and assembled?
11,wg/scrypt,11,Who modified this package com.lambdaworks.jni most recently?
12,wg/scrypt,12,Who modified this CryptoTestUtil most recently?
13,wg/scrypt,13,When was this package com.lambdaworks.jni.test last modified?
14,wg/scrypt,14,When was this PBKDF last modified?
15,wg/scrypt,15,What does this wg/scrypt do?
16,wg/scrypt,16,What was done in the most recent modification to this wg/scrypt?
17,wg/scrypt,17,What was done in the most recent modification to this package com.lambdaworks.crypto.test?
18,wg/scrypt,18,What was done in the most recent modification to this SCryptTest?
19,groovy/groovy-core,1,Is there an entity named something like FloatArrayPutAtMetaMethod in the groovy/groovy-core?
20,groovy/groovy-core,2,Is there an entity named something like package org.codehaus.groovy.runtime.wrappers in the groovy/groovy-core?
21,groovy/groovy-core,3,Is there an entity named something like isTraitSelf in the groovy/groovy-core?
22,groovy/groovy-core,4,Is there an entity named something like BinaryExpressionHelper in the package org.codehaus.groovy.tools.rootloadersync?
23,groovy/groovy-core,5,Is there an entity named something like testDetectsFinalAbstractInterface in the package org.codehaus.groovy.ast?
24,groovy/groovy-core,6,Is there an entity named something like visitConstructor in the LongInteger?
25,groovy/groovy-core,7,What are the parts of this groovy/groovy-core?
26,groovy/groovy-core,8,What are the parts of this package org.codehaus.groovy.syntax?
27,groovy/groovy-core,9,What are the parts of this GenStubsAdapter?
28,groovy/groovy-core,10,How are instances of CustomXmlParser created and assembled?
29,groovy/groovy-core,11,Who modified this package org.codehaus.groovy.transform most recently?
30,groovy/groovy-core,12,Who modified this ProxyGeneratorAdapter most recently?
31,groovy/groovy-core,13,When was this package org.codehaus.groovy.runtime last modified?
32,groovy/groovy-core,14,When was this GroovyShell last modified?
33,groovy/groovy-core,15,What does this groovy/groovy-core do?
34,groovy/groovy-core,16,What was done in the most recent modification to this groovy/groovy-core?
35,groovy/groovy-core,17,What was done in the most recent modification to this package org.codehaus.groovy?
36,groovy/groovy-core,18,What was done in the most recent modification to this TimeCategory?
37,joestelmach/natty,1,Is there an entity named something like AbstractGrammarTest in the joestelmach/natty?
38,joestelmach/natty,2,Is there an entity named something like package com.joestelmach.natty.grammar in the joestelmach/natty?
39,joestelmach/natty,3,Is there an entity named something like getSourceName in the joestelmach/natty?
40,joestelmach/natty,4,Is there an entity named something like DateTest in the package com.joestelmach.natty?
